"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency"
"09.01.2024 23:00 - 10.01.2024 00:00","50.92","EUR"
"10.01.2024 00:00 - 10.01.2024 01:00","37.99","EUR"
"10.01.2024 01:00 - 10.01.2024 02:00","34.6","EUR"
"10.01.2024 02:00 - 10.01.2024 03:00","27.99","EUR"
"10.01.2024 03:00 - 10.01.2024 04:00","27.4","EUR"
"10.01.2024 04:00 - 10.01.2024 05:00","32.11","EUR"
"10.01.2024 05:00 - 10.01.2024 06:00","80.0","EUR"
"10.01.2024 06:00 - 10.01.2024 07:00","82.74","EUR"
"10.01.2024 07:00 - 10.01.2024 08:00","96.89","EUR"
"10.01.2024 08:00 - 10.01.2024 09:00","100.03","EUR"
"10.01.2024 09:00 - 10.01.2024 10:00","79.98","EUR"
"10.01.2024 10:00 - 10.01.2024 11:00","50.07","EUR"
"10.01.2024 11:00 - 10.01.2024 12:00","36.9","EUR"
"10.01.2024 12:00 - 10.01.2024 13:00","32.98","EUR"
"10.01.2024 13:00 - 10.01.2024 14:00","27.8","EUR"
"10.01.2024 14:00 - 10.01.2024 15:00","27.43","EUR"
"10.01.2024 15:00 - 10.01.2024 16:00","26.87","EUR"
"10.01.2024 16:00 - 10.01.2024 17:00","26.32","EUR"
"10.01.2024 17:00 - 10.01.2024 18:00","26.54","EUR"
"10.01.2024 18:00 - 10.01.2024 19:00","25.94","EUR"
"10.01.2024 19:00 - 10.01.2024 20:00","25.39","EUR"
"10.01.2024 20:00 - 10.01.2024 21:00","25.09","EUR"
"10.01.2024 21:00 - 10.01.2024 22:00","25.32","EUR"
"10.01.2024 22:00 - 10.01.2024 23:00","24.43","EUR"
"10.01.2024 23:00 - 11.01.2024 00:00","21.5","EUR"
"11.01.2024 00:00 - 11.01.2024 01:00","21.09","EUR"
"11.01.2024 01:00 - 11.01.2024 02:00","21.85","EUR"
"11.01.2024 02:00 - 11.01.2024 03:00","24.39","EUR"
"11.01.2024 03:00 - 11.01.2024 04:00","27.01","EUR"
"11.01.2024 04:00 - 11.01.2024 05:00","28.77","EUR"
"11.01.2024 05:00 - 11.01.2024 06:00","34.36","EUR"
"11.01.2024 06:00 - 11.01.2024 07:00","41.94","EUR"
"11.01.2024 07:00 - 11.01.2024 08:00","53.51","EUR"
"11.01.2024 08:00 - 11.01.2024 09:00","69.38","EUR"
"11.01.2024 09:00 - 11.01.2024 10:00","89.57","EUR"
"11.01.2024 10:00 - 11.01.2024 11:00","110.01","EUR"
"11.01.2024 11:00 - 11.01.2024 12:00","103.29","EUR"
"11.01.2024 12:00 - 11.01.2024 13:00","96.3","EUR"
"11.01.2024 13:00 - 11.01.2024 14:00","99.0","EUR"
"11.01.2024 14:00 - 11.01.2024 15:00","105.98","EUR"
"11.01.2024 15:00 - 11.01.2024 16:00","124.1","EUR"
"11.01.2024 16:00 - 11.01.2024 17:00","141.86","EUR"
"11.01.2024 17:00 - 11.01.2024 18:00","155.0","EUR"
"11.01.2024 18:00 - 11.01.2024 19:00","200.0","EUR"
"11.01.2024 19:00 - 11.01.2024 20:00","145.44","EUR"
"11.01.2024 20:00 - 11.01.2024 21:00","123.51","EUR"
"11.01.2024 21:00 - 11.01.2024 22:00","108.2","EUR"
"11.01.2024 22:00 - 11.01.2024 23:00","100.0","EUR"
"11.01.2024 23:00 - 12.01.2024 00:00","96.97","EUR"
"12.01.2024 00:00 - 12.01.2024 01:00","90.94","EUR"
"12.01.2024 01:00 - 12.01.2024 02:00","88.13","EUR"
"12.01.2024 02:00 - 12.01.2024 03:00","86.3","EUR"
"12.01.2024 03:00 - 12.01.2024 04:00","86.85","EUR"
"12.01.2024 04:00 - 12.01.2024 05:00","92.24","EUR"
"12.01.2024 05:00 - 12.01.2024 06:00","103.41","EUR"
"12.01.2024 06:00 - 12.01.2024 07:00","124.5","EUR"
"12.01.2024 07:00 - 12.01.2024 08:00","137.15","EUR"
"12.01.2024 08:00 - 12.01.2024 09:00","140.74","EUR"
"12.01.2024 09:00 - 12.01.2024 10:00","134.96","EUR"
"12.01.2024 10:00 - 12.01.2024 11:00","150.03","EUR"
"12.01.2024 11:00 - 12.01.2024 12:00","136.48","EUR"
"12.01.2024 12:00 - 12.01.2024 13:00","124.57","EUR"
"12.01.2024 13:00 - 12.01.2024 14:00","124.32","EUR"
"12.01.2024 14:00 - 12.01.2024 15:00","150.51","EUR"
"12.01.2024 15:00 - 12.01.2024 16:00","203.0","EUR"
"12.01.2024 16:00 - 12.01.2024 17:00","299.02","EUR"
"12.01.2024 17:00 - 12.01.2024 18:00","200.01","EUR"
"12.01.2024 18:00 - 12.01.2024 19:00","155.0","EUR"
"12.01.2024 19:00 - 12.01.2024 20:00","122.84","EUR"
"12.01.2024 20:00 - 12.01.2024 21:00","108.87","EUR"
"12.01.2024 21:00 - 12.01.2024 22:00","98.66","EUR"
"12.01.2024 22:00 - 12.01.2024 23:00","93.57","EUR"
"12.01.2024 23:00 - 13.01.2024 00:00","80.1","EUR"
"13.01.2024 00:00 - 13.01.2024 01:00","49.69","EUR"
"13.01.2024 01:00 - 13.01.2024 02:00","46.63","EUR"
"13.01.2024 02:00 - 13.01.2024 03:00","44.0","EUR"
"13.01.2024 03:00 - 13.01.2024 04:00","42.47","EUR"
"13.01.2024 04:00 - 13.01.2024 05:00","42.54","EUR"
"13.01.2024 05:00 - 13.01.2024 06:00","43.53","EUR"
"13.01.2024 06:00 - 13.01.2024 07:00","45.62","EUR"
"13.01.2024 07:00 - 13.01.2024 08:00","51.2","EUR"
"13.01.2024 08:00 - 13.01.2024 09:00","57.93","EUR"
"13.01.2024 09:00 - 13.01.2024 10:00","59.17","EUR"
"13.01.2024 10:00 - 13.01.2024 11:00","59.21","EUR"
"13.01.2024 11:00 - 13.01.2024 12:00","58.37","EUR"
"13.01.2024 12:00 - 13.01.2024 13:00","56.2","EUR"
"13.01.2024 13:00 - 13.01.2024 14:00","56.36","EUR"
"13.01.2024 14:00 - 13.01.2024 15:00","59.17","EUR"
"13.01.2024 15:00 - 13.01.2024 16:00","68.61","EUR"
"13.01.2024 16:00 - 13.01.2024 17:00","70.78","EUR"
"13.01.2024 17:00 - 13.01.2024 18:00","74.22","EUR"
"13.01.2024 18:00 - 13.01.2024 19:00","75.81","EUR"
"13.01.2024 19:00 - 13.01.2024 20:00","73.82","EUR"
"13.01.2024 20:00 - 13.01.2024 21:00","73.06","EUR"
"13.01.2024 21:00 - 13.01.2024 22:00","80.19","EUR"
"13.01.2024 22:00 - 13.01.2024 23:00","67.35","EUR"
"13.01.2024 23:00 - 14.01.2024 00:00","61.65","EUR"
"14.01.2024 00:00 - 14.01.2024 01:00","64.02","EUR"
"14.01.2024 01:00 - 14.01.2024 02:00","62.11","EUR"
"14.01.2024 02:00 - 14.01.2024 03:00","62.93","EUR"
"14.01.2024 03:00 - 14.01.2024 04:00","64.88","EUR"
"14.01.2024 04:00 - 14.01.2024 05:00","65.38","EUR"
"14.01.2024 05:00 - 14.01.2024 06:00","65.2","EUR"
"14.01.2024 06:00 - 14.01.2024 07:00","67.62","EUR"
"14.01.2024 07:00 - 14.01.2024 08:00","72.01","EUR"
"14.01.2024 08:00 - 14.01.2024 09:00","76.79","EUR"
"14.01.2024 09:00 - 14.01.2024 10:00","81.38","EUR"
"14.01.2024 10:00 - 14.01.2024 11:00","81.33","EUR"
"14.01.2024 11:00 - 14.01.2024 12:00","82.79","EUR"
"14.01.2024 12:00 - 14.01.2024 13:00","80.39","EUR"
"14.01.2024 13:00 - 14.01.2024 14:00","77.04","EUR"
"14.01.2024 14:00 - 14.01.2024 15:00","79.15","EUR"
"14.01.2024 15:00 - 14.01.2024 16:00","82.32","EUR"
"14.01.2024 16:00 - 14.01.2024 17:00","86.62","EUR"
"14.01.2024 17:00 - 14.01.2024 18:00","91.86","EUR"
"14.01.2024 18:00 - 14.01.2024 19:00","94.64","EUR"
"14.01.2024 19:00 - 14.01.2024 20:00","85.26","EUR"
"14.01.2024 20:00 - 14.01.2024 21:00","79.06","EUR"
"14.01.2024 21:00 - 14.01.2024 22:00","78.41","EUR"
"14.01.2024 22:00 - 14.01.2024 23:00","74.67","EUR"
"14.01.2024 23:00 - 15.01.2024 00:00","66.89","EUR"
"15.01.2024 00:00 - 15.01.2024 01:00","69.65","EUR"
"15.01.2024 01:00 - 15.01.2024 02:00","66.05","EUR"
"15.01.2024 02:00 - 15.01.2024 03:00","64.31","EUR"
"15.01.2024 03:00 - 15.01.2024 04:00","62.04","EUR"
"15.01.2024 04:00 - 15.01.2024 05:00","63.57","EUR"
"15.01.2024 05:00 - 15.01.2024 06:00","70.57","EUR"
"15.01.2024 06:00 - 15.01.2024 07:00","85.79","EUR"
"15.01.2024 07:00 - 15.01.2024 08:00","113.52","EUR"
"15.01.2024 08:00 - 15.01.2024 09:00","111.04","EUR"
"15.01.2024 09:00 - 15.01.2024 10:00","128.06","EUR"
"15.01.2024 10:00 - 15.01.2024 11:00","101.89","EUR"
"15.01.2024 11:00 - 15.01.2024 12:00","129.02","EUR"
"15.01.2024 12:00 - 15.01.2024 13:00","129.08","EUR"
"15.01.2024 13:00 - 15.01.2024 14:00","129.08","EUR"
"15.01.2024 14:00 - 15.01.2024 15:00","123.78","EUR"
"15.01.2024 15:00 - 15.01.2024 16:00","108.28","EUR"
"15.01.2024 16:00 - 15.01.2024 17:00","110.02","EUR"
"15.01.2024 17:00 - 15.01.2024 18:00","109.08","EUR"
"15.01.2024 18:00 - 15.01.2024 19:00","115.57","EUR"
"15.01.2024 19:00 - 15.01.2024 20:00","110.66","EUR"
"15.01.2024 20:00 - 15.01.2024 21:00","103.15","EUR"
"15.01.2024 21:00 - 15.01.2024 22:00","92.95","EUR"
"15.01.2024 22:00 - 15.01.2024 23:00","89.49","EUR"
"15.01.2024 23:00 - 16.01.2024 00:00","86.43","EUR"
"16.01.2024 00:00 - 16.01.2024 01:00","82.19","EUR"
"16.01.2024 01:00 - 16.01.2024 02:00","81.4","EUR"
"16.01.2024 02:00 - 16.01.2024 03:00","80.07","EUR"
"16.01.2024 03:00 - 16.01.2024 04:00","78.26","EUR"
"16.01.2024 04:00 - 16.01.2024 05:00","77.59","EUR"
"16.01.2024 05:00 - 16.01.2024 06:00","83.45","EUR"
"16.01.2024 06:00 - 16.01.2024 07:00","123.0","EUR"
"16.01.2024 07:00 - 16.01.2024 08:00","193.42","EUR"
"16.01.2024 08:00 - 16.01.2024 09:00","275.59","EUR"
"16.01.2024 09:00 - 16.01.2024 10:00","270.56","EUR"
"16.01.2024 10:00 - 16.01.2024 11:00","249.93","EUR"
"16.01.2024 11:00 - 16.01.2024 12:00","200.55","EUR"
"16.01.2024 12:00 - 16.01.2024 13:00","170.04","EUR"
"16.01.2024 13:00 - 16.01.2024 14:00","141.97","EUR"
"16.01.2024 14:00 - 16.01.2024 15:00","143.58","EUR"
"16.01.2024 15:00 - 16.01.2024 16:00","156.16","EUR"
"16.01.2024 16:00 - 16.01.2024 17:00","170.08","EUR"
"16.01.2024 17:00 - 16.01.2024 18:00","170.81","EUR"
"16.01.2024 18:00 - 16.01.2024 19:00","164.52","EUR"
"16.01.2024 19:00 - 16.01.2024 20:00","145.42","EUR"
"16.01.2024 20:00 - 16.01.2024 21:00","151.51","EUR"
"16.01.2024 21:00 - 16.01.2024 22:00","131.44","EUR"
